name,brand,lng,lat,fast_count,slow_count,address,district,status,operator
电能侠汽车充电站(徐州云龙复兴路站),state_grid,117.20374,34.271105,4,0,潮衣库服饰批发城北门北110米,云龙区,1,state_grid
闪得能源汽车充电站(产发闪得金龙湖小镇光储充示范站),state_grid,117.283249,34.264248,3,4,金龙湖风景区,贾汪区,1,state_grid
中国石化汽车充电站(中山南路停车场充电站),state_grid,117.18259,34.248444,6,0,中山南路247号徐州云龙湖旅游景区,云龙区,1,state_grid
国家电网汽车充电站(徐州市鼓楼区云玺中心兆瓦超级充电站国网合作站),state_grid,117.18474,34.273056,5,1,云玺中心停车场负一楼(兵工路与铜沛路交叉口正东方向161米左右),鼓楼区,1,state_grid
昆仑网电汽车充电站(中国石油徐州三环东路充电站),state_grid,117.228471,34.250983,2,4,三环东路92号升辉国际家居广场1号馆门口,云龙区,1,state_grid
汽车充电站(徐州彭彭小镇苏宁广场小鹏超充站),state_grid,117.189563,34.264916,2,4,黄楼街道淮海东路29号徐州苏宁广场二楼,鼓楼区,1,state_grid
昆仑网电汽车充电站(中国石油徐州和平路充电站),state_grid,117.18946,34.25032,5,3,博物馆停车楼(师大云龙校区地铁站1号口步行350米),云龙区,1,state_grid
云快充汽车充电站(铜山区吴长法充电销售服务部),state_grid,117.602553,34.102635,7,1,单集镇刘庄村,铜山区,1,state_grid
苏成能源汽车充电站(开发大厦停车场站),state_grid,117.184052,34.256247,4,2,王陵路53号开发大厦停车场,泉山区,1,state_grid
星星充电汽车充电站(星星充电-户部山帝壹烧烤前回龙窝对面站),star_charge,117.18869,34.258095,4,0,彭城街道建国东路447号徐州市回龙窝历史文化街区,云龙区,1,star_charge
云快充汽车充电站(徐州智赢物流重卡充电站),state_grid,117.273348,34.36727,7,1,茅村镇梅庄村104红绿灯南200米路西,铜山区,1,state_grid
云科智电汽车充电站(云智快充-尚仕名邸超级充电站),state_grid,117.253122,34.254593,12,3,政府东侧名邸路与云祥路交叉口东50米(尚仕名邸一期南侧),云龙区,1,state_grid
中石油充电站(徐州金山东路充电站),state_grid,117.169443,34.224231,3,4,金山东路18号云泉山庄院内,泉山区,1,state_grid
昆仑网电汽车充电站(中国石油徐州宜家二期充电站),state_grid,117.272015,34.256548,3,1,翠屏山街道恩元路宜家家居(徐州云龙店),云龙区,1,state_grid
云快充汽车充电站(汇景新苑云快充充电站新),state_grid,117.177079,34.155987,5,2,钱江路11号汇景新苑小区门前停车场,铜山区,1,state_grid
星星充电汽车充电站(星星充电-徐州德基广场液冷超充站免费停车2小时),star_charge,117.187706,34.26249,6,4,彭城街道彭城路33号徐州德基广场,云龙区,1,star_charge
星星充电汽车充电站(星星充电-徐州苏宁广场超级充电站绑定车牌号免2小时停车),star_charge,117.18961,34.264977,5,3,彭城苏宁广场负2层地下停车场B区B018-B029车位,鼓楼区,1,star_charge
国家电网汽车充电站(徐州经开区蟠桃山景宝莲寺超充站ZCF),state_grid,117.268451,34.292798,2,3,徐州经开区蟠桃山景区莲花广场东侧停车场,鼓楼区,1,state_grid
中国铁塔汽车充电站(江苏徐州泉山苏一工院停车场充电站),state_grid,117.16302,34.263096,2,1,淮海西路245号中国煤炭地质总局普查队4栋,泉山区,1,state_grid
中国石化汽车充电站(镜泊西路规划馆停车场充电站),state_grid,117.2813,34.203938,4,2,大龙湖街道镜泊西路徐州市人民政府,云龙区,1,state_grid
百瑞充电汽车充电站(江苏百瑞光储充示范站),state_grid,117.211198,34.230305,5,3,迎宾大道8号,泉山区,1,state_grid
云快充汽车充电站(铜山区北京南路充电站),state_grid,117.1863,34.18215,5,1,铜山街道北京南路9号大张烙馍村南50米停车场,铜山区,1,state_grid
新电途汽车充电站(铜山明辉商店充电站),state_grid,117.440283,34.108113,2,2,美福彩瓦西100米明辉百货商店,铜山区,1,state_grid
星星充电汽车充电站(江苏辉豪徐州新盛广场液冷超充站),star_charge,117.17665,34.247374,4,0,永安街道湖北路1号新盛广场地下停车场,泉山区,1,star_charge
星星充电汽车充电站(上山花园小区西区党群服务中心充电站),star_charge,117.29941,34.276139,2,2,金龙湖街道上山花园小区西区党群服务中心,贾汪区,1,star_charge
星星充电汽车充电站(徐州七岔路口便民充电站),star_charge,117.17355,34.257084,2,4,永安街道苏堤路灯塔农贸市场,泉山区,1,star_charge
智磐科技重卡超级充电站(智磐科技重卡充电站),state_grid,117.27463,34.387215,2,0,茅村派出所警务室南侧160米江苏中赫建材,铜山区,1,state_grid
中国石化超级充电站(黄山充电站),state_grid,117.228721,34.259204,2,1,子房山南坝山小区西南处,云龙区,1,state_grid
星星充电汽车充电站(和平饭店液冷超充站),star_charge,117.19692,34.25004,6,3,共建路和平饭店停车场后院,云龙区,1,star_charge
国家电网汽车充电站(徐州经开区金龙湖小学西校南侧充电站ZCF),state_grid,117.28269,34.25698,4,0,徐州经济开发区金龙湖小学西校区南侧停车场,云龙区,1,state_grid
云科智电汽车充电站(徐州信息谷超充示范站),state_grid,117.181587,34.234856,6,4,泰山路52号信息谷文化创意园,泉山区,1,state_grid
昆仑网电汽车充电站(中国石油徐州惠民小区充电站),state_grid,117.26331,34.171787,4,3,大龙湖街道思民路家电大楼旁停车场,云龙区,1,state_grid
特来电汽车充电站(特来电徐州人民广场充电站),teld,117.158488,34.264288,3,0,和平街道二环西路63号西都大厦地面停车场,泉山区,1,teld
闪得能源汽车充电站(徐州产发闪得经贸学院地铁口超充站),state_grid,117.24796,34.29804,3,0,金山桥街道金工路1号徐州锦园商务宾馆院内,鼓楼区,1,state_grid
易佳电汽车充电站(兰森易电荆马河南路储充充电站),state_grid,117.1953,34.3026,3,2,中山北路350号院内(九里山地铁站3号口步行430米),鼓楼区,1,state_grid
闪得能源汽车充电站(产发闪得中浮矿业光储充超充站),state_grid,117.182526,34.214725,5,3,三环南路与新泰路交叉口东120米江苏中浮矿业科技有限公司院内,泉山区,1,state_grid
星星充电汽车充电站(徐州三环北路张庄社区充电站),star_charge,117.138405,34.314537,5,4,九里街道三环北路辅路张庄社区地面停车场,鼓楼区,1,star_charge
中国石化汽车充电站(淮海西路理想国际充电站),state_grid,117.145453,34.257977,5,0,段庄街道淮海西路388号理想国际广场,泉山区,1,state_grid
昆仑网电汽车充电站(中国石油徐州铜沛充电站),state_grid,117.165085,34.279522,4,4,铜沛街道中环赞城地面停车场,鼓楼区,1,state_grid
